Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"609"	"NFE2L3"	"623.3"	"ARCHS4 Coexpression,392;Enrichr Queries,190;GTEx Coexpression,1288"	"PLK2,ID2,CYP2S1,ID1,CLU"
"gene_set_query"	"610"	"NR0B1"	"623.8"	"Literature ChIP-seq,38;ARCHS4 Coexpression,636;Enrichr Queries,264;GTEx Coexpression,1557"	"ID2,CYP2S1,ID1,HSPA2,CLU"
"gene_set_query"	"611"	"ZFP42"	"624.5"	"Literature ChIP-seq,134;ARCHS4 Coexpression,266;Enrichr Queries,732;GTEx Coexpression,1366"	"CYP2S1,ID1"
"gene_set_query"	"612"	"ZNF426"	"624.7"	"ARCHS4 Coexpression,1038;Enrichr Queries,457;GTEx Coexpression,379"	"PLK2,ID2,ID1,VSIG10L"
"gene_set_query"	"613"	"ZNF45"	"625.0"	"ARCHS4 Coexpression,546;Enrichr Queries,596;GTEx Coexpression,733"	"ID2,ID1"
"gene_set_query"	"614"	"HOXC13"	"625.0"	"ARCHS4 Coexpression,875;Enrichr Queries,571;GTEx Coexpression,429"	"ID2,ID1"
"gene_set_query"	"615"	"RXRG"	"625.3"	"ARCHS4 Coexpression,450;Enrichr Queries,655;GTEx Coexpression,771"	"ZBTB47,ID1,CLU"
"gene_set_query"	"616"	"ZNF446"	"625.7"	"ARCHS4 Coexpression,721;Enrichr Queries,979;GTEx Coexpression,177"	"ID1,RTL5"
"gene_set_query"	"617"	"HMGN3"	"625.8"	"ARCHS4 Coexpression,948;ENCODE ChIP-seq,106;ReMap ChIP-seq,62;GTEx Coexpression,1387"	"ID2,NT5DC2,ID1"
"gene_set_query"	"618"	"ZNF135"	"626.0"	"ARCHS4 Coexpression,908;Enrichr Queries,751;GTEx Coexpression,219"	"ID1,RTL5,ADGRL3"
"gene_set_query"	"619"	"THAP1"	"626.2"	"ARCHS4 Coexpression,933;ENCODE ChIP-seq,109;Enrichr Queries,954;ReMap ChIP-seq,281;GTEx Coexpression,854"	"ID2"
"gene_set_query"	"620"	"EBF3"	"628.0"	"ARCHS4 Coexpression,360;Enrichr Queries,1311;GTEx Coexpression,213"	"LAMC1,ADGRL3"
"gene_set_query"	"621"	"ZNF30"	"628.7"	"ARCHS4 Coexpression,231;Enrichr Queries,833;GTEx Coexpression,822"	"PLK2,ID1,PHACTR2"
"gene_set_query"	"622"	"SOX6"	"629.5"	"ARCHS4 Coexpression,236;Enrichr Queries,724;ReMap ChIP-seq,52;GTEx Coexpression,1506"	"IL1R1,ID1,PLXNC1,VSIG10L,ADGRL3"
"gene_set_query"	"623"	"ZNF799"	"629.7"	"ARCHS4 Coexpression,1416;Enrichr Queries,328;GTEx Coexpression,145"	"ID2,ID1,PLXNC1,LAMC1"
"gene_set_query"	"624"	"IRF8"	"630.3"	"Literature ChIP-seq,146;ARCHS4 Coexpression,801;Enrichr Queries,886;GTEx Coexpression,688"	"ID2"
"gene_set_query"	"625"	"ZNF521"	"630.3"	"ARCHS4 Coexpression,383;Enrichr Queries,890;GTEx Coexpression,618"	"ID1,ADGRL3"
"gene_set_query"	"626"	"AHDC1"	"631.3"	"ARCHS4 Coexpression,157;Enrichr Queries,1003;GTEx Coexpression,734"	"ZBTB47,ID2"
"gene_set_query"	"627"	"CAMTA2"	"631.3"	"ARCHS4 Coexpression,147;Enrichr Queries,1145;GTEx Coexpression,602"	"ZBTB47,ID2"
